Review_ID,Product_Name,Rating,Review_Summary,Review_Text,User_Name,Review_Date,Helpful_Count
REV_10128,Samsung Galaxy S23,5,Worst experience 127,Detailed review description for item 127 with some long feedback text...,User_127,2024-002-20,40 people found this helpful
REV_10129,BoAt Airdopes 141,5,Great product 128!,Detailed review description for item 128 with some long feedback text...,User_128,,24 people found this helpful
REV_10130,Realme Narzo 60,4,Worst experience 129,Detailed review description for item 129 with some long feedback text...,User_129,2024-006-06,13 people found this helpful
REV_10131,Redmi Note 13,5,Great product 130!,Detailed review description for item 130 with some long feedback text...,Anonymous User,2024-003-18,34 people found this helpful
REV_10132,Redmi Note 13,5,Worst experience 131,Detailed review description for item 131 with some long feedback text...,User_131,2024-002-04,47 people found this helpful
REV_10133,BoAt Airdopes 141,5,Great product 132!,Detailed review description for item 132 with some long feedback text...,User_132,2024-001-25,33 people found this helpful
REV_10134,iPhone 15,5,Worst experience 133,Detailed review description for item 133 with some long feedback text...,User_133,2024-006-14,9 people found this helpful
REV_10135,iPhone 15,4,Great product 134!,Detailed review description for item 134 with some long feedback text...,User_134,2024-005-07,34 people found this helpful
REV_10136,Samsung Galaxy S23,4,Worst experience 135,Detailed review description for item 135 with some long feedback text...,Anonymous User,2024-008-12,10 people found this helpful
REV_10137,iPhone 15,5,Great product 136!,Detailed review description for item 136 with some long feedback text...,User_136,,10 people found this helpful
REV_10138,Samsung Galaxy S23,1,Worst experience 137,Detailed review description for item 137 with some long feedback text...,User_137,2024-007-15,20 people found this helpful
REV_10139,OnePlus Nord CE3,5,Great product 138!,Detailed review description for item 138 with some long feedback text...,User_138,2024-003-11,20 people found this helpful
REV_10140,Samsung Galaxy S23,5,Worst experience 139,Detailed review description for item 139 with some long feedback text...,User_139,2024-007-12,21 people found this helpful
REV_10141,iPhone 15,5,Great product 140!,Detailed review description for item 140 with some long feedback text...,Anonymous User,2024-003-17,44 people found this helpful
REV_10142,BoAt Airdopes 141,5,Worst experience 141,Detailed review description for item 141 with some long feedback text...,User_141,2024-003-19,6 people found this helpful
REV_10143,OnePlus Nord CE3,4,Great product 142!,Detailed review description for item 142 with some long feedback text...,User_142,2024-004-04,16 people found this helpful
REV_10144,iPhone 15,4,Worst experience 143,Detailed review description for item 143 with some long feedback text...,User_143,2024-003-26,1 people found this helpful
REV_10145,Samsung Galaxy S23,1,Great product 144!,Detailed review description for item 144 with some long feedback text...,User_144,,11 people found this helpful
REV_10146,Realme Narzo 60,4,Worst experience 145,Detailed review description for item 145 with some long feedback text...,Anonymous User,2024-008-12,41 people found this helpful
REV_10147,Redmi Note 13,4,Great product 146!,Detailed review description for item 146 with some long feedback text...,User_146,2024-008-24,17 people found this helpful
REV_10148,iPhone 15,4,Worst experience 147,Detailed review description for item 147 with some long feedback text...,User_147,2024-005-17,10 people found this helpful
REV_10149,Samsung Galaxy S23,5,Great product 148!,Detailed review description for item 148 with some long feedback text...,User_148,2024-007-11,15 people found this helpful
REV_10150,OnePlus Nord CE3,5,Worst experience 149,Detailed review description for item 149 with some long feedback text...,User_149,2024-002-01,48 people found this helpful
